Version;Produkter;Korning;LCP_s;TBT_ms;SpeedIndex_s
React;500;65;0,363;0;0,322
React;500;66;0,364;0;0,323
React;500;67;0,364;0;0,323
React;500;68;0,363;0;0,322
React;500;69;0,363;0;0,322
React;500;70;0,363;0;0,322
React;500;71;0,364;0;0,323
React;500;72;0,363;0;0,322
React;500;73;0,364;0;0,322
React;500;74;0,364;0;0,323
React;500;75;0,363;0;0,322
React;500;76;0,363;0;0,322
React;500;77;0,363;0;0,322
React;500;78;0,363;0;0,322
React;500;79;0,363;0;0,322
React;500;80;0,363;0;0,322
React;500;81;0,363;0;0,322
React;500;82;0,363;0;0,322
React;500;83;0,364;0;0,323
React;500;84;0,364;0;0,322
React;500;85;0,365;0;0,323
React;500;86;0,363;0;0,322
React;500;87;0,364;0;0,322
React;500;88;0,363;0;0,322
React;500;89;0,363;0;0,322
React;500;90;0,364;0;0,322
React;500;91;0,363;0;0,322
React;500;92;0,363;0;0,322
React;500;93;0,363;0;0,322
React;500;94;0,364;0;0,323
React;500;95;0,363;0;0,322
React;500;96;0,363;0;0,322
React;500;97;0,363;0;0,322
React;500;98;0,363;0;0,322
React;500;99;0,363;0;0,322
React;500;100;0,363;0;0,322
React;1000;1;0,364;0;0,323
React;1000;2;0,364;0;0,323
React;1000;3;0,365;0;0,323
React;1000;4;0,363;0;0,322
React;1000;5;0,365;0;0,323
React;1000;6;0,364;0;0,323
React;1000;7;0,363;0;0,322
React;1000;8;0,364;0;0,323
React;1000;9;0,364;0;0,323
React;1000;10;0,364;0;0,322
React;1000;11;0,364;0;0,323
React;1000;12;0,364;0;0,323
React;1000;13;0,363;0;0,322
React;1000;14;0,364;0;0,323
React;1000;15;0,363;0;0,322
React;1000;16;0,363;0;0,322
React;1000;17;0,363;0;0,322
React;1000;18;0,363;0;0,322
React;1000;19;0,363;0;0,322
React;1000;20;0,364;0;0,323
React;1000;21;0,364;0;0,322
React;1000;22;0,364;0;0,322
React;1000;23;0,364;0;0,322
React;1000;24;0,363;0;0,322
React;1000;25;0,364;0;0,322
React;1000;26;0,363;0;0,322
React;1000;27;0,363;0;0,322
React;1000;28;0,365;0;0,323
React;1000;29;0,363;0;0,322
React;1000;30;0,364;0;0,322
React;1000;31;0,363;0;0,322
React;1000;32;0,364;0;0,322
React;1000;33;0,364;0;0,323
React;1000;34;0,364;0;0,322
React;1000;35;0,364;0;0,322
React;1000;36;0,363;0;0,322
React;1000;37;0,364;0;0,323
React;1000;38;0,363;0;0,322
React;1000;39;0,363;0;0,322
React;1000;40;0,363;0;0,322
React;1000;41;0,363;0;0,322
React;1000;42;0,363;0;0,322
React;1000;43;0,364;0;0,322
React;1000;44;0,363;0;0,322
React;1000;45;0,364;0;0,322
React;1000;46;0,363;0;0,322
React;1000;47;0,363;0;0,322
React;1000;48;0,364;0;0,322
React;1000;49;0,363;0;0,322
React;1000;50;0,363;0;0,322
React;1000;51;0,364;0;0,322
React;1000;52;0,364;0;0,323
React;1000;53;0,363;0;0,322
React;1000;54;0,363;0;0,322
React;1000;55;0,363;0;0,322
React;1000;56;0,363;0;0,322
React;1000;57;0,363;0;0,322
React;1000;58;0,363;0;0,322
React;1000;59;0,364;0;0,323
React;1000;60;0,363;0;0,322
React;1000;61;0,365;0;0,323
React;1000;62;0,363;0;0,322
React;1000;63;0,363;0;0,322
React;1000;64;0,364;0;0,323
React;1000;65;0,363;0;0,322
React;1000;66;0,364;0;0,322
React;1000;67;0,363;0;0,322
React;1000;68;0,363;0;0,322
React;1000;69;0,363;0;0,322
React;1000;70;0,364;0;0,322
React;1000;71;0,363;0;0,322
React;1000;72;0,364;0;0,322
React;1000;73;0,364;0;0,323
React;1000;74;0,363;0;0,322
React;1000;75;0,364;0;0,322
React;1000;76;0,363;0;0,322
React;1000;77;0,364;0;0,322
React;1000;78;0,363;0;0,322
React;1000;79;0,363;0;0,322
React;1000;80;0,364;0;0,322
React;1000;81;0,363;0;0,322
React;1000;82;0,365;0;0,323
React;1000;83;0,363;0;0,322
React;1000;84;0,363;0;0,322
React;1000;85;0,364;0;0,323
React;1000;86;0,363;0;0,322
React;1000;87;0,363;0;0,322
React;1000;88;0,363;0;0,322
React;1000;89;0,363;0;0,322
React;1000;90;0,363;0;0,322
React;1000;91;0,363;0;0,322
React;1000;92;0,364;0;0,322
React;1000;93;0,363;0;0,322
React;1000;94;0,364;0;0,322
React;1000;95;0,363;0;0,322
React;1000;96;0,363;0;0,322
React;1000;97;0,363;0;0,322
React;1000;98;0,363;0;0,322
React;1000;99;0,363;0;0,322
React;1000;100;0,363;0;0,322
React;2000;1;0,364;0;0,323
React;2000;2;0,364;0;0,323
React;2000;3;0,363;0;0,322
React;2000;4;0,364;0;0,322
